Country,Team,TeamID,Location,Stadium_Name,Stadium_Capacity,Post_Code,Latitude,Longitude,League,LeagueID,National_Cup_ID,League_Cup_Name,League_Cup_ID,crestImage
Albania,Bylis Ballsh,137802,Ballsh,Adush Muça Stadium,5500,9300,40.5992,19.7339,Albanian Superliga,4617,,,,Bylis Ballsh.svg
Albania,Flamurtari Vlore,134104,Vlorë,Stadiumi Flamurtari,8500,9401,40.455981,19.488843,Albanian Superliga,4617,,,,flamurtari-vlorë.png
Albania,Kastrioti Kruje,140091,Krujë,Stadiumi Redi Maloku,10000,1501,41.476608,19.724543,Albanian Superliga,4617,,,,Kastrioti Kruje.svg
Albania,Laci,134349,Laç,Stadiumi Laci,2300,4501,41.6353,19.7131,Albanian Superliga,4617,,,,Laci.svg
Albania,Apollonia Fier,134571,Fier,Loni Papuçiu Stadium,3000,9200,40.720867,19.552026,Albanian Superliga,4617,,,,Not_Found.png
Albania,Partizani Tirana,137799,Tirana,Arena e Demave,5000,1001,41.3183,19.8242,Albanian Superliga,4617,,,,partizani-tirana.png
Albania,Skenderbeu Korce,133977,Korçë,Stadiumi Skenderbeu,12343,7001,40.62615,20.782803,Albanian Superliga,4617,,,,Skenderbeu Korce.svg
Albania,Teuta Durres,134055,Durrës,Stadiumi Niko Dovana,13000,2001,41.326138,19.449737,Albanian Superliga,4617,,,,teuta-durrës.png
Albania,KF Tirana,134562,Tirana,Selman Stermasi Stadium,9500,1001,41.318949,19.811249,Albanian Superliga,4617,,,,tirana.png
Albania,Vllaznia Shkoder,137800,Shkodër,Stadiumi Loro Borici,16022,4001,42.069995,19.506577,Albanian Superliga,4617,,,,vllaznia-shkodër.png
Armenia,FC Alashkert,134614,Yerevan,Alashkert Stadium,6850,10,40.1656,44.4894,Armenian Premier League,4619,4460,,,alashkert.png
Armenia,FC Ararat-Armenia,134613,Yerevan,Vazgen Sargsyan Republican Stadium,14403,10,40.172015,44.525545,Armenian Premier League,4619,4460,,   ,ararat-armenia.png
Armenia,FC BKMA Yerevan,134620,Yerevan,BKMA Stadium,2000,10,40.1419,44.4736,Armenian Premier League,4619,4460,,,Not_Found.png
Armenia,FC Ararat Yerevan,134621,Yerevan,Vazgen Sargsyan Republican Stadium,14403,10,40.172015,44.525545,Armenian Premier League,4619,4460,,,ararat-yerevan.png
Armenia,FC Pyunik,134615,Yerevan,Vazgen Sargsyan Republican Stadium,14403,10,40.172015,44.525545,Armenian Premier League,4619,4460,,,FC Pyunik.svg
Armenia,FC Shirak,134618,Gyumri,Gyumri City Stadium,2844,3126,40.7894,43.8475,Armenian Premier League,4619,4460,,,Not_Found.png
Armenia,FC Lernayin Artsakh,134622,Vayk,Vayk Stadium,1500,3601,39.6917,45.4653,Armenian Premier League,4619,4460,,,Not_Found.png
Armenia,FC Sevan,134623,Sevan,Sevan Stadium,1500,1501,40.5603,44.9572,Armenian Premier League,4619,4460,,,Not_Found.png
Armenia,FC Noah,134616,Abovyan,Abovyan City Stadium,4860,2204,40.2684,44.6352,Armenian Premier League,4619,4460,,,noah.png
Armenia,FC Urartu,134617,Yerevan,Urartu Stadium,4860,10,40.171345,44.450418,Armenian Premier League,4619,4460,,,urartu.png
Armenia,FC Van,134619,Charentsavan,Charentsavan City Stadium,3500,2301,40.4086,44.6456,Armenian Premier League,4619,4460,,,van.png
Austria,Austria Wien,133636,Vienna,Generali Arena,17500,1100,48.162408,16.388339,Austrian Bundesliga,4621,4436,,,Austria Wien.svg
Austria,FC Admira Wacker Modling,134255,Mödling,BSFZ-Arena,10600,2340,48.097512,16.311387,Austrian Erste Liga,4796,4436,,,FC Admira Wacker Modling.svg
Austria,LASK,137261,Linz,Raiffeisen Arena Linz,6009,4020,48.293593,14.276558,Austrian Bundesliga,4621,4436,,,LASK.png
Austria,Red Bull Salzburg,133970,Salzburg,Red Bull Arena Salzburg,31895,5071,47.816396,12.998244,Austrian Bundesliga,4621,4436,,,Red_Bull_Salzburg.svg
Austria,SK Rapid Wien,133635,Vienna,Allianz Stadion,28345,1140,48.19801,16.265156,Austrian Bundesliga,4621,4436,,,SK Rapid Wien.png
Austria,SK Austria Lustenau,134254,Lustenau,Reichshofstadion,8800,6890,47.4264,9.6597,Austrian Bundesliga,4621,4436,,,Not_Found.png
Austria,Sturm Graz,137743,Graz,Merkur Arena Graz,16364,8010,47.046367,15.454008,Austrian Bundesliga,4621,4436,,,Sturm Graz.svg
Austria,SV Ried,133993,Ried im Innkreis,Innviertel Arena,7680,4910,48.2108,13.4897,Austrian Bundesliga,4621,4436,,,Not_Found.png
Austria,SV Austria Klagenfurt,134253,Klagenfurt,Worthersee Stadion,30000,9020,46.608793,14.277436,Austrian Bundesliga,4621,4436,,,SV Austria Klagenfurt.svg
Austria,TSV Hartberg,137805,Hartberg,Profertil Arena Hartberg,4500,8230,47.281065,15.977851,Austrian Bundesliga,4621,4436,,,TSV Hartberg.png
Austria,Wolfsberger AC,137252,Wolfsberg,Lavanttal-Arena,7300,9400,46.826159,14.851089,Austrian Bundesliga,4621,4436,,,Wolfsberger AC.svg
Azerbaijan,Qarabag,135702,Baku,Azersun Arena,5800,1110,40.4272,49.9197,Premier League,4693,,,,Qarabag.jpg
Belgium, Anderlecht,133776,Brussels,Lotto Park,22500,1070,50.83402,4.297855,Belgian Pro League,4338,4437,,,Anderlecht.jpg
Belgium, Cercle Brugge,133782,Bruges,Jan Breydel Stadium,29472,8000,51.193346,3.180585,Belgian Pro League,4338,4437,,,Cercle Brugge.png
Belgium, Club Brugge,133789,Bruges,Jan Breydel Stadium,29062,8000,51.193346,3.180585,Belgian Pro League,4338,4437,,,Club Brugge.svg
Belgium, Eupen,133825,Eupen,Kehrwegstadion,8363,4700,50.6275,6.0364,Belgian Pro League,4338,4437,,,eupen.png
